speciality,skills,job_count,pay_range,competition,payment_status,duration,client_spent
Mobile App Development,"['iOS', 'Android', 'Microsoft Windows', 'iPadOS', 'SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Neo4j', 'Claris FileMaker', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis', 'Java', 'Objective-C', 'Swift', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'C#', 'C++', 'CSS 3', 'HTML5', 'C', 'Elixir', 'Dart', 'GraphQL', 'Laravel', 'Ionic Framework', 'Firebase', 'Google Analytics', 'React Native', 'Angular', 'AngularJS', 'React', 'Amazon Web Services', 'Node.js', 'Spring Framework', 'Apache Spark', 'Kendo UI', 'Apple Xcode', 'Elixir', 'Flutter', 'Android App Development', 'Appium', 'AWS Amplify', 'GitHub', 'GraphQL', 'iOS Development', 'iOS SDK', 'Mapbox', 'Mobile App Development', 'OpenAI API', 'RESTful Architecture', 'Twilio API', 'WebRTC', 'Smartphone', 'Tablet', 'Virtual Reality', 'TV Set', 'Gaming Console', 'Personal Computer', 'Hybrid App Development', 'Native App Development', 'AI Mobile App Development', 'Android App Development', 'iOS Development', 'Mobile App Development', 'Mobile App Development Consultation', 'Mobile App Testing', 'Payment Gateway Integration', 'In-App Purchases', 'User Authentication', 'User Profile Creation', 'Review or Feedback Collection', 'Social Media Account Integration', 'Bluetooth', 'Augmented Reality', 'Camera', 'Chat & Messaging Software', 'In-App Search', 'Location-Based Service', 'Map Integration', 'In-App Advertising', 'API Integration', 'Application Security', 'Click-to-Call', 'QR & Barcode Scanner', 'Core Bluetooth', 'ARKit', 'UIKit']",2671,"([0.0], [150.0, 50.0, 0.0, 0.0, 30.0, 0.0, 15.0, 20.0, 10.0, 50.0, 0.0, 0.0, 0.0, 20.0, 35.0, 0.0, 20.0, 35.0, 0.0])",28190,1.0,16,162794105.42999998
Mobile Game Development,"['iOS', 'Android', 'Microsoft Windows', 'iPadOS', 'Java', 'Objective-C', 'Swift', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'C#', 'C++', 'CSS 3', 'HTML5', 'C', 'Elixir', 'Dart', 'GraphQL', 'Laravel', 'Ionic Framework', 'Firebase', 'Google Analytics', 'React Native', 'Angular', 'AngularJS', 'React', 'Amazon Web Services', 'Node.js', 'Spring Framework', 'Apache Spark', 'Kendo UI', 'Apple Xcode', 'Elixir', 'Flutter', 'Android App Development', 'Appium', 'AWS Amplify', 'GitHub', 'GraphQL', 'iOS Development', 'iOS SDK', 'Mapbox', 'Mobile App Development', 'OpenAI API', 'RESTful Architecture', 'Twilio API', 'WebRTC', 'Smartphone', 'Tablet', 'Virtual Reality', 'TV Set', 'Gaming Console', 'Personal Computer', 'Sports & Recreation', 'Puzzle', 'Simulation Game', 'Online Multiplayer', 'Casual Game', 'In-App Purchases', 'User Authentication', 'User Profile Creation', 'Review or Feedback Collection', 'Social Media Account Integration', 'Bluetooth', 'Augmented Reality', 'Camera', 'Chat & Messaging Software', 'In-App Search', 'Location-Based Service', 'Map Integration', 'In-App Advertising', 'API Integration', 'Application Security', 'Click-to-Call', 'QR & Barcode Scanner', 'Unreal Engine', 'Godot', 'Roblox Studio', 'Unity', 'Hybrid App Development', 'Native App Development', 'Android App Development', 'Game Design Document', 'Game Development Bug Fix', 'Game Prototype', 'iOS Development', 'Mobile Game', 'Performance Optimization', 'Ages 3+', 'Core Bluetooth', 'ARKit', 'UIKit', 'SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MySQL', 'PostgreSQL', 'Firebase Cloud Firestore', 'Firebase Realtime Database']",2645,"([0.0], [150.0, 50.0, 0.0, 0.0, 30.0, 0.0, 15.0, 20.0, 10.0, 50.0, 0.0, 0.0, 0.0, 20.0, 35.0, 0.0, 20.0, 35.0, 0.0])",27778,1.0,16,158935492.70999998
AR/VR Development,"['iOS', 'Android', 'Microsoft Windows', 'iPadOS', 'Autodesk 3ds Max', 'Adobe Photoshop', 'Unreal Engine', 'Blender', 'ARKit', 'RealityKit', 'SketchUp', 'Unity', 'Education', 'Real Estate', 'Architecture & Interior Design', 'Gaming', 'Healthcare', 'Manufacturing', 'Marketing', 'Retail & Consumer Goods', 'Supply Chain & Logistics', 'Training', 'Java', 'Objective-C', 'Swift', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'C#', 'C++', 'CSS 3', 'HTML5', 'C', 'Elixir', 'Dart', 'GraphQL', 'Laravel', 'Ionic Framework', 'Firebase', 'Google Analytics', 'React Native', 'Virtual Reality', 'Angular', 'React', 'Augmented Reality', 'Node.js', 'Flutter', 'Android App Development', 'Game Development', 'iOS Development', 'Metaverse', 'Mobile App Development', 'RESTful Architecture', 'SQLite', 'Realm Database', 'MongoDB', 'Microsoft SQL Server', 'MySQL', 'PostgreSQL', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Prototyping', 'Animation', 'Bug Fix', 'Explainer Video', 'Game Design Document', 'Mobile App', 'Mobile Game', 'Visualization', 'VR Application']",2521,"([0.0], [300.0, 50.0])",25840,1.0,17,187639539.88
Database Development,"['JavaScript', 'PHP', 'SQL', 'Python', 'C#', 'Oracle PLSQL', 'R', 'Transact-SQL', 'Visual Basic for Applications', 'SQLite', 'Realm Database', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Claris FileMaker', 'Microsoft Access', 'Database Architecture', 'Database Design', 'Database Maintenance', 'Bug Fix', 'Data Migration', 'Database Administration', 'Database Development', 'Database Integration', 'Database Optimization', 'Database Report', 'Database Security', 'ETL', 'Performance Optimization', 'Query Analysis', 'Query Development']",1277,"([0.0, 0.0, 0.0], [80.0, 0.0, 200.0])",13453,1.0,15,96021413.05999997
Emerging Tech,"['Internet of Things', 'DeFi', 'Distributed Ledger Technology', 'FinTech', 'Metaverse', 'Robotic Process Automation', 'Robotics', 'Tokenomics', 'Web3', 'Business Analysis', 'Research & Development']",36,"([0.0], [100.0])",329,1.0,20,16105560.41
Firmware Development,"['JavaScript', 'Python', 'C++', 'C', 'Assembly Language', 'Embedded C', 'Arduino Firmware', 'Embedded Application', 'Firmware', 'Internet of Things Software', 'Raspberry Pi Firmware', 'Bluetooth', 'Computer Vision', 'Embedded Linux', 'Embedded System', 'Energy Optimization', 'Microcontroller Programming', 'WiFi', 'Arduino', 'ESP32', 'FPGA', 'LoRa', 'PLC', 'Raspberry Pi', 'STM32']",845,"([0.0], [200.0])",8773,1.0,14,55746370.049999975
Coding Tutoring,"['Java', 'Swift', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'SQL', 'TypeScript', 'Python', 'C#', 'C++', 'CSS', 'HTML', 'Sass', 'C', 'ChatGPT', 'Golang', 'R', 'Rust', 'AI Development', 'Algorithm Development', 'App Development', 'Data Analysis', 'Data Structures', 'Machine Learning', 'Scripting', 'Software Debugging', 'Software Development', 'Web Development']",2303,"([0.0, 0.0, 0.0, 8.0], [75.0, 15.0, 35.0, 0.0, 0.0, 0.0, 35.0, 10.0, 70.0])",24484,1.0,16,142279344.46999997
Product Management,"['Google Analytics', 'Asana', 'GitLab', 'Jira', 'Microsoft Excel', 'Mixpanel', 'Trello', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Demo Presentation', 'Functional Prototype', 'Go-to-Market Strategy', 'Implementation Plan', 'Product Backlog', 'Product Roadmap', 'Requirements Specification', 'Status Reports', 'Wireframing', 'Agile Project Management', 'Design Thinking', 'Kanban Methodology', 'Lean Development', 'Scrum', 'Waterfall', 'Prototyping', 'Usability Testing', 'SQL', 'AI Product Management', 'Data Analysis', 'Market Research', 'Product Design', 'Product Development', 'Product Management', 'Project Management', 'Quality Assurance', 'Software Development', 'Stakeholder Management', 'UX & UI', 'Wireframing']",1074,"([0.0], [100.0, 0.0])",9876,1.0,22,152513646.64000002
Scrum Leadership,"['Asana', 'GitLab', 'Jira', 'Microsoft Excel', 'Microsoft Project', 'Trello', 'Business with 1-9 Employees', 'Business with 10-99 Employees', 'Business with 100-999 Employees', 'Business with 1000+ Employees', 'Agile Project Management', 'Business Analysis', 'Coaching', 'Project Management', 'Quality Assurance', 'Scrum']",348,"([0.0, 0.0], [200.0, 35.0])",2946,1.0,24,70778945.67
Automation Testing,"['SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Firebase Cloud Firestore', 'Microsoft Access', 'Redis', 'API Testing', 'Database Testing', 'Desktop Application Testing', 'Game Testing', 'Mobile App Testing', 'Web Testing', 'Katalon Studio', 'Selenium', 'Selenium WebDriver', 'Ansible', 'Appium', 'BrowserStack', 'Cypress', 'Jenkins', 'Postman', 'Zephyr', 'Automated Testing', 'Bug Tracking & Reports', 'Quality Control', 'Software QA', 'Software Testing', 'Test Automation Framework', 'Test Design', 'Test Execution', 'Test Management', 'Test Plan', 'End-to-End Testing', 'Integration Testing', 'Regression Testing', 'Functional Testing', 'Sanity Testing', 'Security Testing', 'Java', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'SQL', 'TypeScript', 'Python', 'C#', 'C++', 'CSS', 'CSS 3', 'HTML', 'HTML5', 'Dart', 'Golang', 'GraphQL', 'Transact-SQL', 'Asana', 'Docker', 'GitLab', 'Jira', 'Kubernetes', 'Microsoft Excel', 'Trello']",2039,"([0.0], [100.0, 0.0])",21183,1.0,17,178969192.66
Manual Testing,"['Bug Tracking & Reports', 'Test Case Design', 'Test Design', 'Test Execution', 'Test Management', 'Test Plan', 'API Testing', 'Database Testing', 'Desktop Application Testing', 'Game Testing', 'Mobile App Testing', 'Web Testing', 'Usability Testing', 'End-to-End Testing', 'Integration Testing', 'Regression Testing', 'Functional Testing', 'Manual Testing', 'Sanity Testing', 'Appium', 'BrowserStack', 'Postman', 'Zephyr', 'Asana', 'Docker', 'GitLab', 'Jira', 'Kubernetes', 'Microsoft Excel', 'Trello']",265,"([0.0], [100.0, 0.0])",2620,1.0,23,77606494.18
Scripting & Automation,"['JavaScript', 'PHP', 'Ruby', 'TypeScript', 'Python', 'Lua', 'Microsoft Windows PowerShell', 'Pine Script', 'R', 'Visual Basic for Applications', 'Beautiful Soup', 'jQuery', 'Scrapy', 'Node.js', 'Selenium', 'AI Builder', 'Make.com', 'n8n', 'NinjaTrader', 'Salesforce CRM', 'Google Apps Script', 'Google Docs', 'Google Sheets', 'Google Workspace', 'MetaTrader 4', 'MetaTrader 5', 'Microsoft Excel', 'Microsoft Power Automate', 'NinjaTrader', 'Oracle NetSuite', 'TradingView', 'UiPath', 'Zapier', 'AI Trading', 'API Integration', 'Automation', 'Business Process Automation', 'Dashboard', 'Data Extraction', 'Data Mining', 'Data Scraping', 'Forex Trading', 'Google Sheets Automation', 'Robotic Process Automation', 'Scripting', 'Spreadsheet Automation', 'Task Automation', 'Trading Automation', 'Web Application Development', 'Web Crawling']",2102,"([0.0], [100.0, 0.0, 0.0])",22091,1.0,16,188488925.54999998
Mobile Design,"['Adobe Illustrator', 'Adobe XD', 'Adobe Photoshop', 'Figma', 'Sketch', 'Canva', 'Fluid UI', 'Framer', 'Miro', 'Webflow', 'Zeplin', 'Mobile App Design', 'Usability Testing', 'Heuristic Evaluation', 'Information Architecture', 'Journey Mapping', 'Interaction Design', 'Competitive Analysis', 'App Development', 'Mobile UI Design', 'Responsive Design', 'Search Engine Optimization', 'UI/UX Prototyping', 'User Experience Strategy', 'UX Research', 'Visual Communication', 'Wireframing', 'iOS', 'Android', 'Microsoft Windows', 'iPadOS', 'Mockup', 'Style Guide', 'User Flow', 'Landing Page', 'Website Redesign', 'Email Design', 'High Fidelity Design', 'Hybrid App', 'Icon Design', 'Mobile App', 'Web Component Design']",1148,"([0.0], [80.0])",12059,1.0,19,85302029.22
Prototyping,"['Design Mockup', 'Functional Prototype', 'Game Prototype', 'High Fidelity Design', 'Interactive Mockup', 'Adobe Illustrator', 'Adobe XD', 'Adobe Photoshop', 'Figma', 'Sketch', 'Blender', 'Autodesk AutoCAD', 'Autodesk Fusion 360', 'SolidWorks', 'Zeplin', 'Prototyping', 'Interaction Design', '3D Modeling', '3D Printing', 'CAD', 'Hardware Prototyping', 'Product Development', 'Rapid Prototyping', 'Responsive Design', 'UI/UX Prototyping', 'User Experience Design', 'User-Centered Design', 'Mobile App Design', 'Software Design', 'Game Design', 'Web Design', 'Adaptive Web Design', 'Button Design', 'Electronic Design', 'Injection Mold Design', 'Mechanical Design', 'Mobile UI Design', 'Product Design', 'User Interface Design', 'Web Component Design']",1163,"([0.0], [80.0, 60.0, 0.0])",12285,1.0,16,91844459.74999999
UX/UI Design,"['Prototyping', 'Usability Testing', 'Heuristic Evaluation', 'Information Architecture', 'Journey Mapping', 'Agile Project Management', 'Competitive Analysis', 'Design Mockup', 'UI/UX Prototyping', 'User Experience Strategy', 'UX Research', 'Visual Communication', 'Wireframing', 'Adobe Illustrator', 'Adobe XD', 'Adobe Photoshop', 'Figma', 'Sketch', 'Canva', 'Fluid UI', 'Framer', 'Miro', 'Webflow', 'Zeplin', 'Mobile App Design', 'Software Design', 'Web Design', 'Interaction Design', 'Adaptive Web Design', 'Button Design', 'Custom Web Design', 'Email Design', 'Game UI/UX Design', 'GUI Design', 'High Fidelity Design', 'Human-Centered Design', 'Icon Design', 'Mobile UI Design', 'Responsive Design', 'User Experience Design', 'User Interface Design', 'User-Centered Design', 'Web Component Design', 'Mockup', 'Website Asset', 'Style Guide', 'User Flow', 'Landing Page', 'Website Redesign', 'Cross Browser & Device Compatibility', 'Design & Usability Research', 'Design Enhancement', 'Home Page', 'Interactive Mockup', 'Mobile App', 'UI Animation', 'UX & UI']",1222,"([0.0], [80.0])",13198,1.0,19,124156828.21
Web Design,"['Wix', 'WordPress', 'Contao', 'Craft CMS', 'Drupal', 'GoDaddy', 'Joomla', 'Kajabi', 'Magento', 'Microsoft SharePoint', 'Moodle', 'Sharetribe', 'Shopify', 'Squarespace', 'Unbounce', 'Webflow', 'WeWeb', 'Adobe Illustrator', 'Adobe XD', 'Adobe Photoshop', 'Figma', 'Sketch', 'Canva', 'Fluid UI', 'Framer', 'Miro', 'Webflow', 'Zeplin', 'Mockup', 'Style Guide', 'User Flow', 'Landing Page', 'Website', 'Website Redesign', 'Avada Theme Customization', 'Custom Web Design', 'High Fidelity Design', 'Icon Design', 'Sales Funnel', 'Theme Customization', 'User Interface Design', 'Web & Mobile Design Consultation', 'Web Component Design', 'Website Customization', 'WordPress Landing Page', 'Advanced Custom Fields Plugin', 'All in One SEO', 'AWeber', 'Contact Form 7', 'Divi', 'Elementor', 'Facebook Plugin', 'Google AdSense Plugin', 'Gravity Forms', 'Instagram Plugin', 'LearnDash', 'Mailchimp Plugin', 'PayPal Plugin', 'Thrive Themes', 'Twitter/X Plugin', 'Vimeo Plugin', 'WooCommerce', 'Yoast SEO', 'JavaScript', 'PHP', 'CSS', 'CSS 3', 'HTML', 'HTML5', 'Sass', 'Prototyping', 'Usability Testing', 'Heuristic Evaluation', 'Information Architecture', 'Journey Mapping', 'Web Design', 'Interaction Design', 'Competitive Analysis', 'Adaptive Web Design', 'Landing Page Optimization', 'Responsive Design', 'Search Engine Optimization', 'UI/UX Prototyping', 'User Experience', 'User Experience Design', 'User Experience Strategy', 'User Interface Design', 'UX & UI', 'Visual Communication', 'Web Development', 'Website Customization', 'Wireframing']",3765,"([0.0], [80.0])",40110,1.0,18,264657844.12999997
Back-End Development,"['Java', 'Kotlin', 'PHP', 'Ruby', 'SQL', 'TypeScript', 'Python', 'C#', 'C++', 'Elixir', 'Dart', 'Delphi', 'Erlang', 'Golang', 'GraphQL', 'Rust', 'Transact-SQL', 'SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Neo4j', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis', 'API', 'Database', 'Database Architecture', 'Database Design', 'Database Maintenance', 'Software Architecture & Design', 'Web Service', 'RESTful API', 'API Development', 'API Integration', 'Back-End Development', 'PHP Script', 'Python Script', 'Requirements Specification', 'REST API', 'Google Analytics', '.NET Framework', 'ASP.NET', 'ASP.NET MVC', 'Git', 'HTTP', 'Scrapy', 'Amazon Web Services', 'Django', 'SaaS', 'Spring Framework', 'Apache Spark', 'pandas', 'PyTorch', 'TensorFlow', 'Ansible', 'Apache Airflow', 'Apache Kafka', 'Apache Maven', 'ASP.NET Core', 'AWS Amplify', 'AWS Lambda', 'Azure DevOps', 'CodeIgniter', 'Docker', 'Drupal', 'Elasticsearch', 'Flask', 'GitHub', 'GitLab', 'Jenkins', 'Joomla', 'Keras', 'Kubernetes', 'Laravel', 'Microservice', 'NumPy', 'OpenAI API', 'OpenCV', 'Python Scikit-Learn', 'RESTful Architecture', 'Ruby on Rails', 'Spring Boot', 'Twig', 'Twilio API', 'XML', 'Apache HTTP Server', 'NGINX', 'Apache Geronimo', 'lighttpd', 'Cloudflare', 'Odoo']",1935,"([0.0], [150.0])",20520,1.0,18,160637096.01999998
CMS Development,"['Java', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'SQL', 'TypeScript', 'Python', 'C#', 'C++', 'CSS', 'CSS 3', 'HTML', 'HTML5', 'Sass', 'Elixir', 'Dart', 'Delphi', 'Erlang', 'Golang', 'GraphQL', 'Rust', 'Transact-SQL', 'Wix', 'WordPress', 'Contao', 'Craft CMS', 'Drupal', 'GoDaddy', 'Joomla', 'Kajabi', 'Magento', 'Microsoft SharePoint', 'Moodle', 'Sharetribe', 'Shopify', 'Squarespace', 'Unbounce', 'Webflow', 'WeWeb', 'API', 'Landing Page', 'Website', 'Website Redesign', 'Blog', 'Bug Fix', 'CMS Development', 'CMS Product Upload', 'Ecommerce Website', 'Platform Plugin', 'Plugin Customization', 'Plugin Development', 'PSD to WordPress', 'Responsive Design', 'SEO-Based Website', 'Theme Customization', 'Theme Development', 'Website Customization', 'Website Migration', 'Website Optimization', 'WordPress Bug Fix', 'WordPress Customization', 'WordPress Development', 'WordPress Installation', 'WordPress Migration', 'WordPress Optimization', 'WordPress Plugin', 'WordPress Security', 'WordPress Theme', 'SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Neo4j', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis', 'Advanced Custom Fields Plugin', 'All in One SEO', 'AWeber', 'Contact Form 7', 'Divi', 'Elementor', 'Facebook Plugin', 'Google AdSense Plugin', 'Gravity Forms', 'Instagram Plugin', 'LearnDash', 'Mailchimp Plugin', 'PayPal Plugin', 'Thrive Themes', 'Twitter/X Plugin', 'Vimeo Plugin', 'WooCommerce', 'Yoast SEO', 'WordPress SEO Plugin', 'Analytics Plugin', 'Payment Plugin', 'SEO Plugin', 'Social Media Plugin', 'WordPress Plugin']",3023,"([0.0], [80.0, 0.0, 70.0, 0.0, 17.0])",31970,1.0,17,191494543.04999998
Front-End Development,"['Adobe Photoshop', 'Google Analytics', '.NET Framework', 'Angular', 'AngularJS', 'Bootstrap', 'Git', 'jQuery', 'React', 'Vue.js', 'WordPress', 'Amazon Web Services', 'Node.js', 'SaaS', 'Kendo UI', 'AJAX', 'AWS Amplify', 'Azure DevOps', 'D3.js', 'Docker', 'ExpressJS', 'Facebook JavaScript', 'GitHub', 'GitLab', 'Jenkins', 'JSON', 'Kubernetes', 'Next.js', 'Nuxt.js', 'React Bootstrap', 'Redux', 'Tailwind CSS', 'Three.js', 'Vercel', 'Vuetify', 'WebGL', 'XML', 'JavaScript', 'SQL', 'TypeScript', 'CSS', 'CSS 3', 'HTML', 'HTML5', 'Sass', 'Landing Page', 'Web Application', 'Website', 'Website Redesign', 'Agile Software Development', 'Blog', 'Browser Extension', 'Ecommerce Website', 'Front-End Development', 'Google Chrome Extension', 'Page Speed Optimization', 'Responsive Design', 'UI Animation']",2342,"([0.0], [100.0, 0.0])",24561,1.0,18,171202055.33999997
Full Stack Development,"['Adobe Photoshop', 'Google Analytics', '.NET Framework', 'Angular', 'AngularJS', 'ASP.NET', 'ASP.NET MVC', 'Bootstrap', 'Database Architecture', 'Git', 'HTTP', 'jQuery', 'React', 'Scrapy', 'Vue.js', 'WordPress', 'Amazon Web Services', 'Django', 'Node.js', 'RESTful API', 'SaaS', 'Spring Framework', 'Apache Spark', 'Kendo UI', 'pandas', 'PyTorch', 'TensorFlow', 'Agile Software Development', 'AJAX', 'Amazon EC2', 'Ansible', 'Apache Maven', 'ASP.NET Core', 'AWS Amplify', 'AWS Lambda', 'Azure DevOps', 'ChatGPT', 'CodeIgniter', 'Custom PHP', 'D3.js', 'Database Management', 'DevOps', 'Distributed Ledger Technology', 'Docker', 'Drupal', 'Elasticsearch', 'ExpressJS', 'Facebook JavaScript', 'Flask', 'Gemini for Google Workspace', 'GitHub', 'GitLab', 'Google Cloud Platform', 'GPT API', 'GPT-4', 'Jenkins', 'Joomla', 'JSON', 'Keras', 'Kubernetes', 'LangChain', 'Laravel', 'Microservice', 'Microsoft Azure', 'NestJS', 'Next.js', 'NumPy', 'Nuxt.js', 'OpenAI API', 'OpenCV', 'Python Scikit-Learn', 'React Bootstrap', 'Redux', 'Responsive Design', 'RESTful Architecture', 'Ruby on Rails', 'Search Engine Optimization', 'Spring Boot', 'Tailwind CSS', 'Three.js', 'Twig', 'Twilio API', 'Vercel', 'Vuetify', 'WebGL', 'XML', 'SQLite', 'Realm Database', 'LevelDB', 'MongoDB', 'Microsoft SQL Server', 'MariaDB', 'MySQL', 'PostgreSQL', 'Oracle Database', 'Neo4j', 'Claris FileMaker', 'Firebase Cloud Firestore', 'Firebase Realtime Database', 'Microsoft Access', 'Redis', 'SAP HANA', 'Web Application', 'Website Redesign', 'AI Agent Development', 'AI App Development', 'AI Bot', 'AI Development', 'AI Model Integration', 'AI-Generated Code', 'API Development', 'API Integration', 'Browser Extension', 'Chatbot', 'ChatGPT API Integration', 'Database Development', 'Desktop Application', 'Ecommerce Website', 'Full-Stack Development', 'Google Chrome Extension', 'Odoo Development', 'OpenAI Codex Prompt', 'Payment Gateway Integration', 'Platform Plugin', 'Software Debugging', 'Web Development', 'Website Optimization', 'WordPress Plugin', 'Apache HTTP Server', 'NGINX', 'Apache Geronimo', 'lighttpd', 'Cloudflare', 'Odoo', 'Java', 'Kotlin', 'JavaScript', 'PHP', 'Ruby', 'SQL', 'TypeScript', 'Python', 'C#', 'C++', 'CSS', 'CSS 3', 'HTML', 'HTML5', 'Sass', 'Elixir', 'Dart', 'Delphi', 'Erlang', 'Golang', 'GraphQL', 'Rust', 'Transact-SQL']",4436,"([0.0], [150.0])",46536,1.0,18,293693212.92999995
